Genome	Sample01	Sample02	Sample03	Sample04	Sample05	Sample06	Sample07	Sample08	Sample09	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample30	Sample31	Sample32	Sample33	Sample34
MAG01856_bin.119	4783	11987	13973	7144	3108	23328	7834	44524	2829	4484	4272	3023	3948	64556	49852	0	24063	32131	0	3491	3525	4130	32305	1776	0	49161	4716	26316	9123	3602	6132	9074	991	11497
MAG01856_bin.123	19715	1414	0	187	0	1808	0	82361	0	468	0	2508	1382	76220	980	5128	0	25849	0	0	133	0	71196	0	0	0	0	13015	2180	0	1294	0	114	610
MAG01856_bin.125	295	187	0	262	0	0	0	75195	0	71	0	572	0	24461	0	6429	0	71908	0	84	0	0	121760	0	82	1010	0	1003	0	80	0	159	0	132
MAG01856_bin.126	10488	2849	26202	0	1016	6826	23193	133476	0	30845	54882	0	27626	0	344	0	0	1066	885	4604	0	221	0	125	0	291	4976	119578	9188	32770	19769	21558	0	498
MAG01856_bin.128	65653	474929	1322	0	0	22390	19865	590366	0	43336	0	0	8297	0	90	0	17207	165437	0	0	4679	0	7707	5864	0	119	14193	195	0	2503	199	18351	292043	6
MAG01856_bin.129	187611	12201	5821	0	2812	0	20697	8518	0	3781	6832	0	2743	7701	59073	191	0	9271	193	1894	9687	685	796	6869	9839	11329	0	8853	12358	9808	1234	17159	0	27909
MAG01856_bin.12	0	21	0	93	0	0	0	9120	0	0	0	0	0	45	99	0	290	0	0	0	43	0	85545	0	27	0	0	84719	0	35215	0	0	43	52
MAG01856_bin.131	971	0	58364	0	112	0	344	33390	0	0	0	0	48	0	705	1316179	0	3816	0	0	421	0	1181	0	12	0	547	90	0	144	0	0	107	28
MAG01856_bin.133	5527	1732	16709	4181	5646	3415	0	12860	0	0	115	0	1517	1115	1814	0	980	6920	0	49	0	0	7260	0	1294	146004	92	99806	0	0	1242	1583	0	171
MAG01856_bin.134	2786	72773	21260	80911	33230	29203	69421	227211	30517	0	15459	0	4362	30020	92480	1223	27905	71269	0	60817	0	33218	121130	929	0	24277	20134	16925	0	50187	161637	34710	85604	73901
MAG01856_bin.136	64149	20090	12363	5627	3858	6314	7804	9325	1773	12286	0	0	1222	11164	0	323	1728	21725	0	5773	8208	16639	4900	0	33203	0	0	1971	10183	3402	27785	13893	17111	13148
MAG01856_bin.137	29553	70032	45218	0	1265	4843	4657	16388	5520	2016	6985	0	4925	192602	0	10341	0	966	0	3350	11565	0	0	4789	0	6398	2561	3144	0	4003	1865	8579	5896	6211
MAG01856_bin.138	37043	0	0	0	0	0	0	92	0	0	0	0	0	21137	0	0	2961	0	0	0	0	22	0	0	0	0	26	0	0	0	0	32186	0	112
MAG01856_bin.13	1910	8282	4773	3896	2523	4515	3292	0	0	599	0	0	932	8027	3957	103611	1014	47190	0	0	0	3040	0	1306	2092	1244	0	10705	2636	1852	1728	0	1252	7475
MAG01856_bin.140	0	0	8999	0	0	0	24	38810	0	0	0	0	0	8234	20523	0	0	11459	0	8482	0	0	975	0	0	0	9374	0	0	0	0	3645	12307	9526
MAG01856_bin.141	37379	0	19631	0	927	1856	492	60669	687	0	235	0	0	1529	8023	0	0	15276	0	72	0	0	988	0	10	0	96	0	2771	0	1224	5243	0	104
MAG01856_bin.144	1924	97746	80761	127326	1002	76863	233325	0	4060	66671	137958	0	781	57433	128948	681	17300	19330	0	73524	331366	99593	119250	25156	3822	0	19714	302810	0	138989	175979	60545	102552	306995
MAG01856_bin.145	0	7699	27769	19064	4570	0	2994	15836	0	2305	8699	0	12995	45813	37692	20524	3611	12652	0	0	2231	7609	4692	978	2581	12552	0	7921	3100	4172	1673	6342	947	8786
MAG01856_bin.146	95581	0	53290	0	150	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	98	0	22	0	0	0	0	38	0	0	18	0	0	1813
MAG01856_bin.147	1652	1243	1418	0	528	0	0	608262	0	388	0	269	0	2155155	1045469	0	1063	7722	0	0	226	905	873930	90	0	0	0	3507	1696	0	611	786	195	925
MAG01856_bin.148	0	63	107375	0	20	96	0	97	0	10	0	15	0	0	25941	0	88	0	0	0	34	0	92	0	28	21688	0	0	64	0	30	0	0	36
MAG01856_bin.149	0	5170	21562	0	0	487	0	15057	0	0	0	0	0	0	71	0	0	0	33	0	0	0	18088	0	0	46	0	0	0	59	0	0	0	3768
MAG01856_bin.152	380	0	62048	0	631	0	297	42724	0	373	0	2221	0	81590	2193	2770	0	220848	0	0	91	0	97817	0	139	129779	1022	157911	897	0	409	1779	0	622
MAG01856_bin.154	1064	0	728	0	576	1191	0	22267	195	0	559	1120	1122	172679	1602	5015	0	211146	0	0	217	0	107240	0	153	42828	494	3029	0	0	471	0	393	538
MAG01856_bin.155	191651	0	0	0	40	0	148	71776	0	0	0	0	597	97316	0	0	0	306690	0	0	387	0	183660	0	0	593	0	311435	0	0	0	19	0	281
MAG01856_bin.157	1923	15202	4774	54280	4317	28369	6000	40543	0	11354	3828	0	7685	33251	7814	591	12820	66078	0	1658	0	41008	17284	5528	12274	23479	3988	55826	4967	7979	7026	8522	11356	3345
MAG01856_bin.158	0	625	24444	0	1809	0	0	38765	0	394	599	14652	0	148640	1857	0	799	75606	0	0	206	0	34793	0	235	94808	0	16424	586	0	461	901	0	1084
MAG01856_bin.159	1107	0	586	188	0	1006	0	1040	0	88	0	431	0	388379	0	8947	193	0	0	0	140	0	552198	0	0	1926	0	741	0	139	0	0	99	214
MAG01856_bin.15	190	0	143	0	149	0	0	20277	0	0	0	0	0	44699	0	0	397	71464	0	0	30	0	170	0	0	86888	0	31121	0	0	205	0	0	99
MAG01856_bin.162	79967	12462	4293	8138	0	6963	4361	54810	1570	4019	3210	0	0	85965	84689	4341	9182	44436	0	2526	0	8896	38061	2867	2658	21005	2723	30087	0	10237	5855	5788	8054	10450
MAG01856_bin.163	10643	0	5023	5593	8010	6405	3133	76782	1341	1891	2923	0	0	27398	9578	384	9365	12210	0	1846	2503	11728	0	1959	0	4164	2041	11567	5391	8023	0	10083	0	4731
MAG01856_bin.164	0	0	957	91	0	480	0	69702	0	128	0	15859	0	457	95	153155	0	1111	0	95	0	183	0	171	0	119	0	0	0	0	292	0	419	99
MAG01856_bin.165	57032	6619	105170	2646	1623	4319	3144	84940	0	1778	0	0	0	248331	450214	49442	2612	234476	181	4292	0	7697	77131	905	4215	122755	1632	53931	3351	1718	0	2069	0	1728
MAG01856_bin.166	29360	0	13700	0	237	905	0	9901	0	0	0	0	0	54207	58909	9057	0	92926	0	0	103	2997	135430	0	0	10692	0	15083	0	393	183	0	114	291
MAG01856_bin.167	28006	1874	26147	0	432	1570	0	37394	947	3623	1284	0	3572	7174	0	2796688	0	41663	0	0	114	0	37948	0	599	20654	0	18001	0	592	0	6254	0	563
MAG01856_bin.168	0	32	0	26	0	0	18	0	1712	0	46	0	0	0	0	84518	0	12	0	0	51	0	51	0	482	0	0	10	0	0	0	0	0	1
MAG01856_bin.169	153980	7470	15585	13538	20721	9206	0	7888	3637	14895	3413	0	0	28693	22514	0	5541	66681	1229	3899	71620	16330	18306	2981	53970	0	9048	0	493	13275	11157	12098	25515	29425
